imageFilename,bboxes
.\rgb_\C501_2017_12_31_15_49_41\10.jpg,"[[1.0, 130.0, 116.0, 57.0], [222.0, 121.0, 129.0, 88.0]]"
.\rgb_\C501_2017_12_31_15_49_41\11.jpg,"[[17.0, 131.0, 148.0, 56.0], [269.0, 124.0, 82.0, 77.0]]"
.\rgb_\C501_2017_12_31_15_49_41\12.jpg,"[[38.0, 96.0, 116.0, 46.0], [70.0, 125.0, 140.0, 49.0]]"
.\rgb_\C501_2017_12_31_15_49_41\13.jpg,"[[119.0, 125.0, 169.0, 56.0], [73.0, 94.0, 114.0, 51.0]]"
.\rgb_\C501_2017_12_31_15_49_41\14.jpg,"[[151.0, 90.0, 114.0, 52.0], [207.0, 125.0, 128.0, 55.0]]"
.\rgb_\C501_2017_12_31_15_49_41\15.jpg,"[[192.0, 95.0, 114.0, 51.0], [245.0, 118.0, 103.0, 62.0]]"
.\rgb_\C501_2017_12_31_15_49_41\17.jpg,"[[263.0, 93.0, 88.0, 54.0]]"
.\rgb_\C501_2017_12_31_15_49_41\20.jpg,"[[1.0, 145.0, 58.0, 52.0]]"
.\rgb_\C501_2017_12_31_15_9_43\1.jpg,"[[1.0, 99.0, 57.0, 41.0], [225.0, 56.0, 78.0, 41.0]]"
.\rgb_\C501_2017_12_31_15_9_43\2.jpg,"[[1.0, 95.0, 66.5, 39.0], [249.0, 53.0, 81.0, 54.0], [255.0, 61.0, 61.0, 32.0]]"
.\rgb_\C501_2017_12_31_15_9_43\3.jpg,"[[1.0, 86.0, 101.0, 47.0], [263.0, 55.0, 73.0, 46.0]]"
.\rgb_\C501_2017_12_31_15_9_43\4.jpg,"[[1.0, 82.0, 107.0, 49.0], [287.0, 52.0, 62.0, 40.0]]"
.\rgb_\C501_2017_12_31_15_9_43\5.jpg,"[[14.0, 82.0, 106.0, 42.0], [300.0, 54.0, 45.0, 33.0]]"
.\rgb_\C501_2017_12_31_15_9_43\6.jpg,"[[299.0, 51.0, 52.0, 34.0], [29.0, 81.0, 100.0, 43.0]]"
.\rgb_\C501_2017_12_31_15_9_43\7.jpg,"[[318.0, 49.0, 33.0, 38.0], [44.0, 71.0, 99.0, 46.0]]"
.\rgb_\C501_2017_12_31_15_9_43\8.jpg,"[[325.0, 50.0, 26.0, 34.0], [68.0, 80.0, 78.0, 36.0]]"
.\rgb_\C501_2017_12_31_15_9_43\9.jpg,"[[78.0, 73.0, 75.0, 36.0]]"
.\rgb_\C501_2017_12_31_15_9_43\10.jpg,"[[82.0, 70.0, 94.0, 42.0]]"
.\rgb_\C501_2017_12_31_15_9_43\11.jpg,"[[1.0, 97.0, 85.0, 74.0], [96.0, 62.0, 71.0, 44.0]]"
.\rgb_\C501_2017_12_31_15_9_43\12.jpg,"[[1.0, 103.0, 124.0, 57.0], [108.0, 60.0, 62.0, 44.0]]"
.\rgb_\C501_2017_12_31_15_9_43\13.jpg,"[[118.0, 69.0, 63.0, 36.0], [45.0, 107.0, 122.0, 68.0]]"
.\rgb_\C501_2017_12_31_15_9_43\14.jpg,"[[116.0, 67.0, 66.0, 27.0], [91.0, 99.0, 130.0, 75.0]]"
.\rgb_\C501_2017_12_31_15_9_43\15.jpg,"[[1.0, 147.0, 57.0, 52.0], [114.0, 57.0, 64.0, 46.0], [125.0, 94.0, 134.0, 68.0]]"
.\rgb_\C501_2017_12_31_15_9_43\16.jpg,"[[1.0, 131.0, 88.0, 78.0], [116.0, 60.0, 65.0, 43.0], [172.0, 99.0, 126.0, 59.0]]"
.\rgb_\C501_2017_12_31_15_9_43\17.jpg,"[[1.0, 94.0, 62.0, 36.0], [129.0, 60.0, 65.0, 41.0], [216.0, 96.0, 135.0, 64.0], [8.0, 130.0, 122.0, 70.0]]"
.\rgb_\C501_2017_12_31_15_9_43\18.jpg,"[[1.0, 112.0, 168.0, 87.0], [1.0, 91.0, 82.0, 41.0], [134.0, 60.0, 40.0, 32.0], [263.0, 98.0, 88.0, 69.0]]"
.\rgb_\C501_2017_12_31_15_9_43\19.jpg,"[[1.0, 80.0, 109.0, 53.0], [41.0, 125.0, 161.0, 79.0]]"
.\rgb_\C501_2017_12_31_15_9_43\20.jpg,"[[17.0, 79.0, 116.0, 42.0], [84.0, 128.0, 169.0, 95.0]]"
.\rgb_\C501_2017_12_31_16_29_35\6.jpg,"[[1.0, 121.0, 98.0, 58.0]]"
.\rgb_\C501_2017_12_31_16_29_35\7.jpg,"[[1.0, 99.0, 69.0, 37.0], [31.0, 117.0, 115.0, 75.0]]"
.\rgb_\C501_2017_12_31_16_29_35\8.jpg,"[[1.0, 83.0, 94.0, 50.0], [62.0, 125.0, 138.0, 50.0]]"
.\rgb_\C501_2017_12_31_16_29_35\9.jpg,"[[16.0, 89.0, 101.0, 42.0], [95.0, 125.0, 131.0, 51.0]]"
.\rgb_\C501_2017_12_31_16_29_35\10.jpg,"[[195.0, 121.0, 127.0, 62.0], [65.0, 69.0, 106.0, 61.0]]"
.\rgb_\C501_2017_12_31_16_29_35\11.jpg,"[[1.0, 133.0, 67.0, 62.0], [241.0, 112.0, 110.0, 80.0], [87.0, 72.0, 134.0, 73.0]]"
.\rgb_\C501_2017_12_31_16_29_35\12.jpg,"[[1.0, 109.0, 126.0, 103.0], [118.0, 71.0, 120.0, 72.0], [292.0, 103.0, 59.0, 94.0]]"
.\rgb_\C501_2017_12_31_16_29_35\13.jpg,"[[1.0, 120.0, 123.0, 75.0], [129.0, 68.0, 103.0, 75.0], [313.0, 107.0, 38.0, 66.0]]"
.\rgb_\C501_2017_12_31_16_29_35\14.jpg,"[[163.0, 63.0, 81.0, 54.0], [41.0, 120.0, 183.0, 77.0]]"
.\rgb_\C501_2017_12_31_16_29_35\15.jpg,"[[185.0, 67.0, 98.0, 54.0], [99.0, 120.0, 197.0, 77.0]]"
.\rgb_\C501_2017_12_31_16_29_35\16.jpg,"[[1.0, 109.0, 107.0, 51.0], [160.0, 118.0, 187.0, 85.0], [196.0, 48.0, 94.0, 66.0]]"
.\rgb_\C501_2017_12_31_16_29_35\17.jpg,"[[1.0, 113.0, 116.0, 46.0], [169.0, 120.0, 182.0, 88.0], [216.0, 67.0, 76.0, 32.0]]"
.\rgb_\C501_2017_12_31_16_29_35\18.jpg,"[[141.0, 98.0, 148.0, 65.0], [257.0, 61.0, 70.0, 36.0]]"
.\rgb_\C501_2017_12_31_16_29_35\19.jpg,"[[192.0, 101.0, 159.0, 62.0], [267.0, 65.0, 57.0, 33.0]]"
.\rgb_\C501_2017_12_31_16_29_35\20.jpg,"[[261.0, 62.0, 76.0, 35.0], [267.0, 103.0, 84.0, 51.0]]"
.\rgb_\C501_2017_12_31_16_49_36\1.jpg,"[[1.0, 152.0, 70.0, 64.0], [1.0, 93.0, 116.0, 47.0], [226.0, 64.0, 72.0, 37.0]]"
.\rgb_\C501_2017_12_31_16_49_36\2.jpg,"[[1.0, 124.0, 101.0, 81.0], [250.0, 61.0, 60.0, 45.0], [33.0, 87.0, 108.0, 48.0]]"
.\rgb_\C501_2017_12_31_16_49_36\3.jpg,"[[1.0, 123.0, 133.0, 81.0], [266.0, 57.0, 41.0, 37.0], [56.0, 78.0, 112.0, 53.0]]"
.\rgb_\C501_2017_12_31_16_49_36\4.jpg,"[[1.0, 139.0, 160.0, 63.0], [260.0, 53.0, 62.0, 42.0], [77.0, 87.0, 107.0, 37.0]]"
.\rgb_\C501_2017_12_31_16_49_36\5.jpg,"[[113.0, 79.0, 93.0, 41.0], [279.0, 57.0, 60.0, 35.0], [39.0, 136.0, 182.0, 65.0]]"
.\rgb_\C501_2017_12_31_16_49_36\6.jpg,"[[131.0, 73.0, 89.0, 46.0], [289.0, 57.0, 38.0, 30.0], [85.0, 139.0, 167.0, 58.0]]"
